xs1,ys1,xg1,yg1,xs2,ys2,xg2,yg2,distance,replanning count,time
22,14,19,26,16,24,2,1,28.0,30,38.477591037750244
19,26,22,14,2,1,16,24,28.0,30,38.477591037750244
3,14,15,22,14,17,29,25,23.5,20,8.18814206123352
15,22,3,14,29,25,14,17,23.5,20,8.18814206123352
21,21,4,11,15,7,31,19,28.5,28,2.0661847591400146
4,11,21,21,31,19,15,7,28.5,28,2.0661847591400146
15,9,25,19,17,12,8,9,16.0,18,1.316053867340088
25,19,15,9,8,9,17,12,16.0,18,1.316053867340088
8,1,8,16,7,2,22,6,20.0,21,1.663384199142456
8,16,8,1,22,6,7,2,20.0,21,1.663384199142456
0,1,31,11,17,9,4,13,33.0,24,49.34058904647827
31,11,0,1,4,13,17,9,33.0,24,49.34058904647827
13,22,0,30,23,11,28,10,13.5,10,1.2780869007110596
0,30,13,22,28,10,23,11,13.5,10,1.2780869007110596
22,14,19,24,0,16,19,25,21.5,14,1.9736528396606445
19,24,22,14,19,25,0,16,21.5,14,1.9736528396606445
25,8,10,8,13,28,19,30,12.5,16,1.0770971775054932
10,8,25,8,19,30,13,28,12.5,16,1.0770971775054932
19,30,23,28,29,4,21,19,9.5,11,60.0
23,28,19,30,21,19,29,4,9.5,11,60.0
11,25,13,14,19,12,12,3,14.5,16,1.630798101425171
13,14,11,25,12,3,19,12,14.5,16,1.630798101425171
0,6,10,8,28,22,23,30,14.5,16,1.5868701934814453
10,8,0,6,23,30,28,22,14.5,16,1.5868701934814453
8,8,19,21,23,28,31,28,17.0,16,1.7270948886871338
19,21,8,8,31,28,23,28,17.0,16,1.7270948886871338
17,3,27,15,20,6,21,7,14.0,19,2.852369785308838
27,15,17,3,21,7,20,6,14.0,19,2.852369785308838
11,10,23,12,13,24,16,15,15.0,16,1.453010082244873
23,12,11,10,16,15,13,24,15.0,16,1.453010082244873
25,25,8,17,24,11,1,17,29.0,29,16.579880237579346
8,17,25,25,1,17,24,11,29.0,29,16.579880237579346
27,8,10,17,6,31,22,18,28.5,25,30.384212970733643
10,17,27,8,22,18,6,31,28.5,25,30.384212970733643
6,5,14,2,0,3,1,4,6.5,7,4.846885681152344
14,2,6,5,1,4,0,3,6.5,7,4.846885681152344
30,22,10,31,28,13,25,13,16.0,16,6.878334045410156
10,31,30,22,25,13,28,13,16.0,16,6.878334045410156
14,20,31,22,25,7,20,18,21.5,12,12.136555910110474
31,22,14,20,20,18,25,7,21.5,12,12.136555910110474
16,0,3,23,29,29,3,7,43.0,33,5.732752799987793
3,23,16,0,3,7,29,29,43.0,33,5.732752799987793
23,5,22,4,26,2,17,5,10.0,9,1.327131748199463
22,4,23,5,17,5,26,2,10.0,9,1.327131748199463
2,5,20,0,8,9,15,29,26.0,26,3.1399800777435303
20,0,2,5,15,29,8,9,26.0,26,3.1399800777435303
6,10,27,7,5,4,18,24,31.5,30,4.25213098526001
27,7,6,10,18,24,5,4,31.5,30,4.25213098526001
20,16,26,18,12,7,27,17,19.5,12,6.463887929916382
26,18,20,16,27,17,12,7,19.5,12,6.463887929916382
7,17,26,23,16,20,25,28,23.0,15,3.834872245788574
26,23,7,17,25,28,16,20,23.0,15,3.834872245788574
25,1,2,23,9,0,5,15,33.0,29,12.590785026550293
2,23,25,1,5,15,9,0,33.0,29,12.590785026550293
29,19,30,20,11,22,26,20,10.5,15,2.2886080741882324
30,20,29,19,26,20,11,22,10.5,15,2.2886080741882324
5,0,8,21,14,5,8,9,20.0,22,4.155284881591797
8,21,5,0,8,9,14,5,20.0,22,4.155284881591797
29,18,3,12,22,3,25,20,33.0,33,25.09480571746826
3,12,29,18,25,20,22,3,33.0,33,25.09480571746826
21,9,29,14,18,16,14,2,17.5,16,1.8775851726531982
29,14,21,9,14,2,18,16,17.5,16,1.8775851726531982
16,17,23,26,18,30,18,4,23.0,22,2.6970040798187256
23,26,16,17,18,4,18,30,23.0,22,2.6970040798187256
7,20,16,7,14,16,29,0,27.5,19,2.81675386428833
16,7,7,20,29,0,14,16,27.5,19,2.81675386428833
9,25,12,22,16,19,7,24,11.0,7,1.3052048683166504
12,22,9,25,7,24,16,19,11.0,7,1.3052048683166504
28,13,6,10,11,22,20,23,19.5,25,2.3904502391815186
6,10,28,13,20,23,11,22,19.5,25,2.3904502391815186
2,22,27,27,16,3,17,28,32.0,28,3.3656301498413086
27,27,2,22,17,28,16,3,32.0,28,3.3656301498413086
13,9,14,22,31,9,11,5,21.0,18,2.8909902572631836
14,22,13,9,11,5,31,9,21.0,18,2.8909902572631836
21,11,22,18,4,15,11,13,10.5,12,1.5707688331604004
22,18,21,11,11,13,4,15,10.5,12,1.5707688331604004
1,30,26,11,14,24,18,26,25.0,26,4.648486137390137
26,11,1,30,18,26,14,24,25.0,26,4.648486137390137
8,13,14,30,29,13,29,12,12.0,18,2.8260321617126465
14,30,8,13,29,12,29,13,12.0,18,2.8260321617126465
0,13,7,25,19,22,2,26,22.0,15,2.804677963256836
7,25,0,13,2,26,19,22,22.0,15,2.804677963256836
4,18,6,7,11,13,28,15,20.0,22,4.000227928161621
6,7,4,18,28,15,11,13,20.0,22,4.000227928161621
2,31,14,2,11,24,20,24,27.0,33,4.877855062484741
14,2,2,31,20,24,11,24,27.0,33,4.877855062484741
28,21,8,24,13,27,16,0,31.5,31,3.963006019592285
8,24,28,21,16,0,13,27,31.5,31,3.963006019592285
26,17,14,9,18,24,26,11,22.5,21,2.667980909347534
14,9,26,17,26,11,18,24,22.5,21,2.667980909347534
25,7,20,14,4,4,4,11,11.5,16,1.517625093460083
20,14,25,7,4,11,4,4,11.5,16,1.517625093460083
30,14,8,18,9,6,9,28,29.0,23,2.9268698692321777
8,18,30,14,9,28,9,6,29.0,23,2.9268698692321777
30,12,6,23,14,27,23,9,36.0,28,4.459752082824707
6,23,30,12,23,9,14,27,36.0,28,4.459752082824707
27,6,16,30,0,11,20,20,35.0,33,4.611943006515503
16,30,27,6,20,20,0,11,35.0,33,4.611943006515503
10,18,28,25,24,17,21,27,0.0,1,60.0
28,25,10,18,21,27,24,17,0.0,1,60.0
0,26,12,0,22,23,18,18,24.5,30,4.177998065948486
12,0,0,26,18,18,22,23,24.5,30,4.177998065948486
19,30,4,14,25,29,30,25,21.0,29,3.843928098678589
4,14,19,30,30,25,25,29,21.0,29,3.843928098678589
28,22,26,24,15,29,22,2,24.0,27,6.5013158321380615
26,24,28,22,22,2,15,29,24.0,27,6.5013158321380615
15,23,8,16,0,25,25,29,22.5,22,3.0484988689422607
8,16,15,23,25,29,0,25,22.5,22,3.0484988689422607
16,19,9,12,15,3,4,7,14.5,13,1.4866180419921875
9,12,16,19,4,7,15,3,14.5,13,1.4866180419921875
25,19,30,2,10,0,4,15,21.5,21,2.010187864303589
30,2,25,19,4,15,10,0,21.5,21,2.010187864303589
28,2,14,19,23,5,8,10,26.5,27,2.905250072479248
14,19,28,2,8,10,23,5,26.5,27,2.905250072479248
14,27,17,2,16,9,5,23,27.5,23,3.7025868892669678
